name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Naps in strollers don’t really work anymore,2020-10-17T12:25:58Z,Run,17891.0,4840,01:29:57,99.0,157.7,198.0,3.696,12:25:58,2020-10-17,2020-10-12,11.1193,324.8,01:20:40,07:15,8.27
Urban Trail Run,2020-10-15T12:03:24Z,Run,6324.0,1832,00:30:38,69.0,,,3.452,12:03:24,2020-10-15,2020-10-12,3.9304,226.38,00:30:32,07:46,7.72
Brr. 4mi tempo,2020-10-13T05:26:31Z,Run,12871.0,3369,00:59:45,57.0,163.4,192.0,3.82,05:26:31,2020-10-13,2020-10-12,7.9994,187.01,00:56:09,07:01,8.55
Morning Run,2020-10-12T05:51:24Z,Run,6730.0,2006,00:37:30,60.0,,,3.355,05:51:24,2020-10-12,2020-10-12,4.1827,196.85,00:33:26,07:59,7.5
Christmas marathon anyone?,2020-10-11T14:25:03Z,Run,12942.0,3659,01:02:16,63.0,,,3.537,14:25:03,2020-10-11,2020-10-05,8.0435,206.69,01:00:59,07:34,7.91
Lunch Run,2020-10-10T11:53:12Z,Run,15128.0,3920,01:07:18,105.0,,,3.859,11:53:12,2020-10-10,2020-10-05,9.4021,344.49,01:05:20,06:56,8.63
Lunch Run,2020-10-07T12:16:31Z,Run,5111.0,1402,00:23:56,27.0,,,3.6460000000000004,12:16:31,2020-10-07,2020-10-05,3.1765,88.58,00:23:22,07:21,8.16
Lunch Run,2020-10-07T12:01:15Z,Run,1737.0,517,00:08:37,9.0,,,3.36,12:01:15,2020-10-07,2020-10-05,1.0796,29.53,00:08:37,07:58,7.52
Ouch. Hard getting back into it.,2020-10-06T11:58:56Z,Run,12390.0,3207,00:55:10,84.0,167.9,191.0,3.863,11:58:56,2020-10-06,2020-10-05,7.7004,275.59,00:53:27,06:56,8.64
Strollin with Riv: she ran two laps on the track :),2020-10-04T12:10:59Z,Run,9479.0,3120,01:09:11,24.0,144.2,206.0,3.0380000000000003,12:10:59,2020-10-04,2020-09-28,5.8912,78.74,00:52:00,08:49,6.8
Lunch Run,2020-10-03T11:56:14Z,Run,16614.0,4831,01:33:14,106.0,155.6,224.0,3.4389999999999996,11:56:14,2020-10-03,2020-09-28,10.3257,347.77,01:20:31,07:47,7.69
